2023-05-15 00:05:488 INFO  HomePage :80 - select total commander [[ChromeDriver: chrome on WINDOWS (0a433cce68ad703b0f17503778ca25c8)] -> id: product_attribute_5_12]
2023-05-15 00:05:604 INFO  HomePage :92 - add To Cart Button [[ChromeDriver: chrome on WINDOWS (0a433cce68ad703b0f17503778ca25c8)] -> xpath: //button[@class='button-1 add-to-cart-button']]
2023-05-15 00:05:713 INFO  HomePage :86 - get price [[ChromeDriver: chrome on WINDOWS (0a433cce68ad703b0f17503778ca25c8)] -> xpath: //div[@class='product-price']]
2023-05-15 00:05:554 INFO  HomePage :27 - Top menu
2023-05-15 00:05:322 INFO  HomePage :51 - sort type [[ChromeDriver: chrome on WINDOWS (962d50516ee223e60d4a5ef398676c89)] -> xpath: //select[@id='products-orderby']]
2023-05-15 00:05:481 INFO  HomePage :86 - List of products [[[ChromeDriver: chrome on WINDOWS (962d50516ee223e60d4a5ef398676c89)] -> xpath: //div[@class='item-grid']/div//h2], [[ChromeDriver: chrome on WINDOWS (962d50516ee223e60d4a5ef398676c89)] -> xpath: //div[@class='item-grid']/div//h2], [[ChromeDriver: chrome on WINDOWS (962d50516ee223e60d4a5ef398676c89)] -> xpath: //div[@class='item-grid']/div//h2]]
2023-05-15 00:05:727 INFO  HomePage :60 - sort type [[ChromeDriver: chrome on WINDOWS (962d50516ee223e60d4a5ef398676c89)] -> xpath: //select[@id='products-orderby']]
2023-05-15 00:05:987 INFO  HomePage :56 - select Processor [[ChromeDriver: chrome on WINDOWS (962d50516ee223e60d4a5ef398676c89)] -> xpath: //select[@id='product_attribute_1']]
2023-05-15 00:05:118 INFO  HomePage :62 - select ram [[ChromeDriver: chrome on WINDOWS (962d50516ee223e60d4a5ef398676c89)] -> xpath: //select[@id='product_attribute_2']]
2023-05-15 00:05:266 INFO  HomePage :68 - select HDD [[ChromeDriver: chrome on WINDOWS (962d50516ee223e60d4a5ef398676c89)] -> id: product_attribute_3_7]
2023-05-15 00:05:375 INFO  HomePage :74 - select vista premium [[ChromeDriver: chrome on WINDOWS (962d50516ee223e60d4a5ef398676c89)] -> id: product_attribute_4_9]
2023-05-15 00:05:489 INFO  HomePage :80 - select total commander [[ChromeDriver: chrome on WINDOWS (962d50516ee223e60d4a5ef398676c89)] -> id: product_attribute_5_12]
2023-05-15 00:05:602 INFO  HomePage :92 - add To Cart Button [[ChromeDriver: chrome on WINDOWS (962d50516ee223e60d4a5ef398676c89)] -> xpath: //button[@class='button-1 add-to-cart-button']]
